,trans_date_trans_time,cc_num,amt,gender,city_pop,dob,unix_time,is_fraud
0,2019-01-01 00:00:18,2703186189652095,4.97,F,3495,1988-03-09,1325376018,0
1,2019-01-01 00:00:44,630423337322,107.23,F,149,1978-06-21,1325376044,0
2,2019-01-01 00:00:51,38859492057661,220.11,M,4154,1962-01-19,1325376051,0
3,2019-01-01 00:01:16,3534093764340240,45.0,M,1939,1967-01-12,1325376076,0
4,2019-01-01 00:03:06,375534208663984,41.96,M,99,1986-03-28,1325376186,0
5,2019-01-01 00:04:08,4767265376804500,94.63,F,2158,1961-06-19,1325376248,0
6,2019-01-01 00:04:42,30074693890476,44.54,F,2691,1993-08-16,1325376282,0
7,2019-01-01 00:05:08,6011360759745864,71.65,M,6018,1947-08-21,1325376308,0
8,2019-01-01 00:05:18,4922710831011201,4.27,F,1472,1941-03-07,1325376318,0
9,2019-01-01 00:06:01,2720830304681674,198.39,F,151785,1974-03-28,1325376361,0
10,2019-01-01 00:06:23,4642894980163,24.74,M,7297,1990-07-13,1325376383,0
11,2019-01-01 00:06:53,377234009633447,7.77,F,1925,1966-02-14,1325376413,0
12,2019-01-01 00:06:56,180042946491150,71.22,M,341043,1989-02-28,1325376416,0
13,2019-01-01 00:07:27,5559857416065248,96.29,M,589,1945-12-21,1325376447,0
14,2019-01-01 00:09:03,3514865930894695,7.77,M,899,1967-08-30,1325376543,0
15,2019-01-01 00:09:20,6011999606625827,3.26,M,4664,1965-06-30,1325376560,0
16,2019-01-01 00:10:49,6011860238257910,327.0,F,1078,1952-07-06,1325376649,0
17,2019-01-01 00:10:58,3565423334076143,341.67,M,4081,1938-03-15,1325376658,0
18,2019-01-01 00:11:14,2348245054386329,63.07,M,2518,1946-02-02,1325376674,0
19,2019-01-01 00:12:34,4956828990005111019,44.71,M,124967,1980-12-21,1325376754,0
20,2019-01-01 00:13:08,4469777115158234880,57.34,M,47249,1980-11-22,1325376788,0
21,2019-01-01 00:14:37,2305336922781618,50.79,M,1132,1961-02-14,1325376877,0
22,2019-01-01 00:17:16,180048185037117,46.28,F,71485,1974-07-19,1325377036,0
23,2019-01-01 00:17:40,630441765090,9.55,F,1791,1965-07-26,1325377060,0
24,2019-01-01 00:18:06,4428780983793657331,22.95,M,95015,1946-01-02,1325377086,0
25,2019-01-01 00:18:07,343464013864032,2.55,F,6629,1962-08-13,1325377087,0
26,2019-01-01 00:20:15,374930071163758,64.09,M,31515,1971-11-05,1325377215,0
27,2019-01-01 00:21:32,4334230547694630,6.85,M,471,1967-08-02,1325377292,0
28,2019-01-01 00:22:06,4225990116481262579,90.22,M,4878,1966-12-03,1325377326,0
29,2019-01-01 00:22:18,4260059589824237,4.02,M,4005,1945-03-15,1325377338,0
30,2019-01-01 00:22:36,180094608895855,3.66,F,597,1961-05-19,1325377356,0
31,2019-01-01 00:22:39,4599735407877245080,82.8,F,5577,1964-12-30,1325377359,0
32,2019-01-01 00:22:44,630412733309,66.21,F,1038,1964-04-22,1325377364,0
33,2019-01-01 00:23:41,2712209726293386,25.58,F,378909,1977-02-22,1325377421,0
34,2019-01-01 00:23:58,374125201044065,9.03,M,601723,1970-07-20,1325377438,0
35,2019-01-01 00:25:46,349612764943496,99.0,M,467,1984-06-04,1325377546,0
36,2019-01-01 00:26:22,3598215285024754,207.36,F,34496,1970-10-21,1325377582,0
37,2019-01-01 00:27:45,213141712584544,181.35,F,19685,1984-12-24,1325377665,0
38,2019-01-01 00:27:56,30561214688470,82.22,F,166081,1998-10-01,1325377676,0
39,2019-01-01 00:29:11,4789911625179723,221.81,F,3285,1988-04-27,1325377751,0
40,2019-01-01 00:30:49,676372984911,53.6,F,242,1987-07-18,1325377849,0
41,2019-01-01 00:31:01,30011465039817,54.02,F,4015,1971-10-14,1325377861,0
42,2019-01-01 00:31:51,4642255475285942,102.13,F,46,1987-04-23,1325377911,0
43,2019-01-01 00:32:15,30074693890476,212.75,F,2691,1993-08-16,1325377935,0
44,2019-01-01 00:32:15,180067784565096,130.4,F,2328,1942-01-06,1325377935,0
45,2019-01-01 00:32:47,213126662687660,91.16,M,248858,1971-01-28,1325377967,0
46,2019-01-01 00:33:51,2266735643685262,55.78,M,5901,1972-07-25,1325378031,0
47,2019-01-01 00:34:10,3553629419254918,83.07,F,85,1984-09-01,1325378050,0
48,2019-01-01 00:36:12,3511058278399773,4.38,F,205,1960-01-06,1325378172,0
49,2019-01-01 00:36:58,4110266553600176127,130.89,F,1686,1986-11-06,1325378218,0
50,2019-01-01 00:37:18,4265776278887457,103.0,F,969,1954-01-05,1325378238,0
51,2019-01-01 00:39:22,3583793405872580,50.82,F,551,1970-09-27,1325378362,0
52,2019-01-01 00:39:37,213193596103206,60.77,M,95,1994-02-09,1325378377,0
53,2019-01-01 00:39:43,60495593109,122.86,M,1263321,1942-11-24,1325378383,0
54,2019-01-01 00:40:44,4725837176265195730,212.45,F,5719,1994-11-05,1325378444,0
55,2019-01-01 00:40:48,30404291151692,7.33,F,45100,1993-10-25,1325378448,0
56,2019-01-01 00:40:50,213178850083780,70.53,M,1302,1976-10-18,1325378450,0
57,2019-01-01 00:40:58,2356276337669917,58.26,M,5848,1981-02-15,1325378458,0
58,2019-01-01 00:41:43,3568736585751727,50.45,M,1195,1974-03-13,1325378503,0
59,2019-01-01 00:41:45,4642255475285942,177.57,F,46,1987-04-23,1325378505,0
60,2019-01-01 00:42:26,4509142395811241,8.57,F,1324,1926-07-12,1325378546,0
61,2019-01-01 00:43:38,3547560454237873,56.66,M,680,1966-12-21,1325378618,0
62,2019-01-01 00:44:20,4433091568498503,75.34,F,135332,1936-03-28,1325378660,0
63,2019-01-01 00:44:43,2720433095629877,62.54,M,3224,1997-08-22,1325378683,0
64,2019-01-01 00:45:13,4716561796955522,92.84,F,743,1972-05-04,1325378713,0
65,2019-01-01 00:46:18,3536918668124647,2.76,F,973849,1955-06-12,1325378778,0
66,2019-01-01 00:47:55,3525668150756629,101.35,M,137,1990-08-13,1325378875,0
67,2019-01-01 00:48:09,4707867759656333,303.47,F,581,1967-02-04,1325378889,0
68,2019-01-01 00:49:25,4666314527820883145,83.52,M,2202,1974-06-21,1325378965,0
69,2019-01-01 00:49:31,2248735346244816,9.97,M,269,1962-11-11,1325378971,0
70,2019-01-01 00:50:53,4512828414983801773,16.16,F,328,1983-07-25,1325379053,0
71,2019-01-01 00:52:57,3501509250702469,59.56,M,276002,1979-01-02,1325379177,0
72,2019-01-01 00:55:05,30273037698427,57.23,M,111,2000-06-13,1325379305,0
73,2019-01-01 00:56:12,3558881852140592,317.14,M,759,1957-03-28,1325379372,0
74,2019-01-01 00:56:44,30487648872433,127.88,F,350,1955-01-05,1325379404,0
75,2019-01-01 00:56:59,571465035400,113.4,M,1645,1976-02-26,1325379419,0
76,2019-01-01 00:57:17,378006354724784,94.53,M,395,1982-01-07,1325379437,0
77,2019-01-01 00:57:30,341283058448499,1.82,M,1461,1935-09-08,1325379450,0
78,2019-01-01 00:58:02,4481131401752,75.77,M,35299,1975-04-30,1325379482,0
79,2019-01-01 00:58:53,4687263141103,108.59,F,399,1977-04-28,1325379533,0
80,2019-01-01 00:59:25,5456776410929288,48.68,F,139,1954-05-25,1325379565,0
81,2019-01-01 01:00:19,4981132848794,72.35,M,128,1946-04-03,1325379619,0
82,2019-01-01 01:00:48,6011893664860915,218.71,F,320420,1975-07-31,1325379648,0
83,2019-01-01 01:01:48,6534628260579800,52.59,F,4542,1998-03-19,1325379708,0
84,2019-01-01 01:02:16,376028110684021,89.11,M,964,1974-12-23,1325379736,0
85,2019-01-01 01:02:53,571365235126,89.35,F,372,1995-07-12,1325379773,0
86,2019-01-01 01:04:48,3518758680062249,50.68,M,9772,1989-11-24,1325379888,0
87,2019-01-01 01:06:06,5456776410929288,64.47,F,139,1954-05-25,1325379966,0
88,2019-01-01 01:06:22,3577578023716568,63.58,F,2644,1983-08-25,1325379982,0
89,2019-01-01 01:08:31,213112402583773,81.85,F,1523,1984-06-03,1325380111,0
90,2019-01-01 01:09:22,3592325941359225,59.7,F,31970,1935-08-15,1325380162,0
91,2019-01-01 01:09:41,4683520018489354,90.54,M,93193,1995-04-19,1325380181,0
92,2019-01-01 01:09:57,3502088871723054,50.57,M,19054,1976-09-08,1325380197,0
93,2019-01-01 01:09:57,180048185037117,3.79,F,71485,1974-07-19,1325380197,0
94,2019-01-01 01:10:16,6511349151405438,54.54,M,450,1946-08-24,1325380216,0
95,2019-01-01 01:11:02,4198470814557,3.35,F,2036,1971-08-20,1325380262,0
